OperatorID,SampleID,YYYYMMDDHHMM,Top_Bottom,Replicate,Temp_C,Light,Tissue_Area_cm2,VolSol_mL,Fluorescence_Reading,Trial 
,blank_1,202409260900,,,,,,2,0.18,1
GaCh,3001,202409260900,top,a,23,light,4,2,157.47,1
GaCh,3002,202409260900,bottom,a,23,light,4,2,448.51,1
LiKa,3003,202409261000,top,a,23,light,4,2,608.76,1
LiKa,3004,202409261000,bottom,a,23,light,4,2,1118.97,1
LiKa,3005,202409261130,top,a,23,light,4,4,933.48,1
LiKa,3006,202409261130,bottom,a,23,light,4,4,2282.57,1
LiKa,3007,202409261200,top,a,23,light,4,4,727.71,1
LiKa,3008,202409261200,bottom,a,23,light,4,4,1798.6,1
LiKa,3009,202409261300,top,a,23,light,4,2,955.85,1
LiKa,3010,202409261300,bottom,a,23,light,4,2,3898.5,1
SaPo,3011,202409261400,top,a,23,light,4,4,3107.16,1
SaPo,3012,202409261400,bottom,a,23,light,4,4,3619.61,1
SaPo,blank_2,202409260200,,,,,,,0.19,1
SaPo,1001,202409260200,top,a,23,dark,6,2,657.77,1
SaPo,1002,202409260200,bottom,a,23,dark,6,2,1831.68,1
SaPo,1003,202409260200,top,a,23,med,6,2,755.8,1
SaPo,1004,202409260200,bottom,a,23,med,6,2,2804.85,1
SaPo,1005,202409260200,top,a,23,light,6,2,3383.45,1
SaPo,1006,202409260200,bottom ,a,23,light,6,2,3629.54,1
SaPo,1009,202410101430,bottom,a,15,dark,6,12,769.67,2
SaPo,1010,202410101430,top,a,15,dark,6,12,560.48,2
SaPo,1011,202410101430,bottom,b,15,dark,6,12,1413.95,2
SaPo,1014,202410101430,top,c,15,dark,6,12,927.44,2
SaPo,1015,202410101430,bottom,d,15,dark,6,4,1615.09,2
SaPo,1016,202410101430,bottom,a,15,light,6,4,1538.35,2
SaPo,1017,202410101430,top,a,15,light,6,12,1025,2
SaPo,1018,202410101430,bottom,b,15,light,6,12,1314.75,2
SaPo,1019,202410101430,top,b,15,light,6,12,687.76,2
SaPo,1020,202410101430,bottom,c,15,light,6,12,887.96,2
SaPo,1021,202410101430,top,c,15,light,6,12,661.86,2
SaPo,1024,202410101430,bottom,a,15,med,6,12,617.24,2
SaPo,1025,202410101430,top,a,15,med,6,12,535.14,2
SaPo,1027,202410101430,top,b,15,med,6,4,582.68,2
SaPo,1028,202410101430,bottom,c,15,med,6,4,1632.15,2
SaPo,1029,202410101430,top,c,15,med,6,4,858.61,2
SaPo,1030,202410101430,bottom,d,15,med,6,4,1255.52,2
SaPo,1031,202410101430,top,d,15,med,6,4,1053.52,2
SaPo,1032,202410101430,bottom,a,20,light,6,4,1053.52,2
SaPo,1033,202410101430,top,a,20,light,6,12,488.98,2
SaPo,1034,202410101430,bottom,b,20,light,4,4,1309.27,2
SaPo,1035,202410101430,top,b,20,light,4,4,103.86,2
SaPo,1036,202410101430,bottom,c,20,light,4,12,358.29,2
SaPo,1037,202410101430,top,c,20,light,4,12,120.87,2
SaPo,1039,202410101430,top,d,20,light,4,12,120.87,2
SaPo,1040,202410101430,bottom,a,20,med,6,12,1631.48,2
SaPo,1041,202410101430,top,a,20,med,6,12,200.25,2
SaPo,1042,202410101430,bottom,b,20,med,6,12,890.6,2
SaPo,1043,202410101430,top,b,20,med,6,12,834.15,2
SaPo,1044,202410101430,bottom,c,20,med,6,12,983.8,2
SaPo,1045,202410101430,top,c,20,med,6,12,826.89,2
SaPo,1046,202410101430,bottom,d,20,med,6,12,578.78,2
SaPo,1047,202410101430,top,d,20,med,6,4,1647.67,2
SaPo,1048,202410101430,bottom,a,20,dark,6,12,442.45,2
SaPo,1049,202410101430,top,a,20,dark,6,4,1191.76,2
SaPo,1050,202410101430,bottom,b,20,dark,6,12,1173.47,2
SaPo,1051,202410101430,top,b,20,dark,6,12,619.12,2
SaPo,1052,202410101430,bottom,c,20,dark,6,12,543.18,2
SaPo,1053,202410101430,top,c,20,dark,6,4,1448.11,2
SaPo,1054,202410101430,bottom,d,20,dark,6,12,858.86,2
SaPo,1055,202410101430,top,d,20,dark,6,4,1225.63,2
GaCh,3013,202410100900,bottom,a,15,light,4,4,501.72,2
GaCh,3014,202410100900,top,a,15,light,4,2,122.69,2
LiKa,3015,202410101010,bottom,a,15,light,4,2,1236.11,2
LiKa,3016,202410101010,top,a,15,light,4,2,259.71,2
LiKa,3017,202410101100,bottom,a,15,light,4,4,343.51,2
LiKa,3019,202410101100,top,a,15,light,4,4,254.53,2
LiKa,3020,202410101200,bottom,a,15,light,4,4,147.36,2
LiKa,3021,202410101200,top,a,15,light,4,4,323.86,2
LiKa,3022,202410101300,bottom,a,15,light,4,4,139.68,2
SaPo,3023,202410101300,top,a,15,light,4,4,793.41,2
LiKa,3024,202410101300,bottom,b,15,light,4,4,694.33,2
SaPo,3025,202410101300,top,b,15,light,4,12,207.39,2
SaPo,3026,202410101300,bottom,c,15,light,4,12,564.2,2
LiKa,3027,202410101300,top,c,15,light,4,4,820.62,2
SaPo,3028,202410101400,bottom,a,15,light,4,,,2
SaPo,3029,202410101400,top,a,15,light,4,,,2
LiKa,3030,202410100900,bottom,a,20,light,4,12,906.97,2
LiKa,3031,202410100900,top,a,20,light,4,2,276.58,2
LiKa,3032,202410101010,bottom,a,20,light,4,2,491.98,2
LiKa,3033,202410101010,top,a,20,light,4,2,278.85,2
LiKa,3034,202410101100,bottom,a,20,light,4,2,181.19,2
LiKa,3035,202410101100,top,a,20,light,4,4,220.03,2
LiKa,3036,202410101200,bottom,a,20,light,4,4,140.18,2
LiKa,3037,202410101200,top,a,20,light,4,4,190.25,2
LiKa,3038,202410101300,bottom,a,20,light,4,4,1372.59,2
LiKa,3039,202410101300,top,a,20,light,4,4,79.44,2
SaPo,3040,202410101300,bottom,b,20,light,4,12,283.62,2
LiKa,3041,202410101300,top,b,20,light,4,4,310.72,2
SaPo,3042,202410101300,bottom,c,20,light,4,12,317.35,2
LiKa,3043,202410101300,top,c,20,light,4,4,498.86,2
SaPo,3044,202410101400,bottom,a,20,light,4,,,2
SaPo,3045,202410101400,top,a,20,light,4,,,2
